Transaction_ID,Sales_Agent_ID,Sales_Agent_Name,Customer_ID,Customer_Name,Product_ID,Product_Name,Date_of_Sale,Units_Sold,Unit_Price,Total_Sale_Amount,Approved_Rebate_Rate,Approved_Incentive_Rate
T202508-00033,S006,Agent 6,C0080,Customer 80,P003,Product A3,2025-08-30,1,123.65,123.65,0.0500,0.0200
T202508-00034,S010,Agent 10,,Customer 148,P017,Product B7,2025-08-13,13,144.35,1876.55,0.1000,0.0200
T202508-00035,S023,Agent 23  ,C0051,Customer 51  ,P002,Product A2,2025-08-27,23,77.50,1782.50,0.0500,0.0200
T202508-00036,S021,Agent 21,C0063,Customer 63,P003,Product A3,2025-08-10,25,123.65,3091.25,0.0500,0.0200
T202508-00037,S028,Agent 28,C0176,Customer 176,P016,Product B6,2025-08-26,4,176.86,707.44,0.1000,0.0200
T202508-00038,S019,Agent 19,C0201,Customer 201,P002,Product A2,2025-08-14,18,77.50,1395.00,0.0500,0.0200
T202508-00039,S022,Agent 22,C0095,Customer 95,P002,Product A2,2025-08-11,21,65.85,1382.85,0.0500,0.0200
T202508-00040,S001, Agent 1 ,C0218,Customer 218  ,P011,Product B1,2025-08-04,16,176.70,2827.20,0.1300,0.0200
T202508-00041,S014,Agent 14,C0093,Customer 93,,Product B6,23-Aug-2025,15,176.86,2652.90,0.1000,0.0200
T202508-00042,S005,Agent 5,C0112,Customer 112,P005,Product A5,2025-08-31,17,92.19,1567.23,0.0500,0.0200
T202508-00043,S021,Agent 21,C0070,Customer 70,P016,Product B6,2025-08-25,18,176.86,3183.48,0.1000,0.0200
T202508-00044,S016,Agent 16,,Customer 120,P011,Product B1,2025-08-19,24,176.70,4240.80,0.1000,0.0200
T202508-00045,S009,Agent 9,C0083,Customer 83,P023,Product C3,09-Aug-2025,3,37.18,111.54,0.0000,0.0200
T202508-00046,S029,Agent 29,C0116,Customer 116,P007,Product A7,2025-08-19,15,52.65,789.75,0.0500,0.0200
T202508-00047,S020,Agent 20,C0172,Customer 172,P010,Product A10,2025-08-16,1,130.94,130.94,0.0500,0.0200
T202508-00048,S028,Agent 28,C0084,Customer 84,P005,Product A5,2025-08-12,7,92.19,645.33,0.0500,0.0200
T202508-00049,S026, Agent 26 ,C0067, Customer 67 ,P009,Product A9,2025-08-23,20,61.99,1239.80,0.0500,0.0200
T202508-00050,S029,Agent 29,C0071,Customer 71,P014,Product B4,2025-08-31,17,91.13,1549.21,0.1000,0.0200
T202508-00051,S007,Agent 7,,Customer 22,P007,Product A7,2025-08-16,14,52.65,737.10,0.0500,0.0200
T202508-00052,S018,Agent 18,C0195,Customer 195,P007,Product A7,2025-08-21,16,52.65,842.40,0.0500,0.0200
T202508-00053,S023,Agent 23,C0126,Customer 126,P012,Product B2,2025-08-03,1,120.83,120.83,0.1000,0.0200
T202508-00054,S010,Agent 10,C0057,Customer 57,P011,Product B1,2025-08-10,8,176.70,1413.60,0.1000,0.0200
T202508-00055,S022,Agent 22,C0149,Customer 149,P010,Product A10,2025-08-17,18,130.94,2356.92,0.0500,0.0200
T202508-00056,S012,Agent 12,C0109,Customer 109,P030,Product C10,2025-08-11,18,36.06,649.08,0.0000,0.0200
T202508-00057,S012,Agent 12,C0180,Customer 180,P012,Product B2,2025-08-09,10,120.83,1208.30,0.1000,0.0200
T202508-00058,S008,Agent 8,C0031,Customer 31,P019,Product B9,2025-08-04,11,179.53,1974.83,0.1000,0.0200
T202508-00059,S024,Agent 24,C0138,Customer 138,P028,Product C8,2025-08-06,23,88.32,2031.36,0.0000,0.0200
T202508-00060,S007,Agent 7,C0056,Customer 56,P019,Product B9,08-24-25,9,179.53,1615.77,0.1000,0.0200
T202508-00061,S019,Agent 19,C0195,Customer 195,P014,Product B4,2025-08-04,10,91.13,911.30,0.1000,0.0200
T202508-00062,S027,Agent 27,C0050,Customer 50,P008,Product A8,2025-08-06,12,114.99,1379.88,0.0500,0.0200
T202508-00063,S010,Agent 10,C0004,Customer 4,P018,Product B8,2025-08-09,5,125.42,627.10,0.1000,0.0200
T202508-00064,S002,Agent 2,C0014,Customer 14,P014,Product B4,2025-08-31,23,91.13,2095.99,0.1000,0.0200
T202508-00065,S005,Agent 5,C0164,Customer 164,P024,Product C4,2025-08-04,16,39.09,625.44,0.0000,0.0200
T202508-00066,S028,Agent 28,C0004,Customer 4,P015,Product B5,2025-08-16,16,181.70,2907.20,0.1500,0.0200
T202508-00067,S015,Agent 15,C0088,Customer 88,P005,Product A5,2025-08-09,2,92.19,184.38,0.0500,0.0200
T202508-00068,S028,Agent 28,C0123,Customer 123,P003,Product A3,2025-08-13,3,123.65,370.95,0.0500,0.0200
T202508-00069,S016,Agent 16,C0019,Customer 19,P015,Product B5,2025-08-02,22,181.70,3997.40,0.1000,0.0200
T202508-00070,S005,Agent 5,C0039,Customer 39,P021,Product C1,2025-08-03,10,93.41,934.10,0.0000,0.0200
T202508-00071,S008,Agent 8,C0031,Customer 31,P014,Product B4,2025/08/20,14,91.13,1275.82,0.1000,0.0200
T202508-00072,S020,Agent 20,C0203,Customer 203,P016,Product B6,17-Aug-2025,25,176.86,4421.50,0.1000,0.0200
T202508-00073,S013,Agent 13,C0116,Customer 116,P026,Product C6,2025-08-28,10,63.32,633.20,0.0000,0.0200
T202508-00074,S019,Agent 19,C0110,Customer 110,P008,Product A8,2025-08-02,20,114.99,2299.80,0.0500,0.0200
T202508-00075,S020,Agent 20,C0190,Customer 190,P003,Product A3,2025-08-07,25,123.65,3091.25,0.0500,0.0200
T202508-00076,S021,Agent 21,C0055,Customer 55,P007,Product A7,06/08/2025,3,52.65,157.95,0.0500,0.0200
T202508-00077,S008,Agent 8,C0045,Customer 45,P014,Product B4,2025-08-01,6,91.13,546.78,0.1300,0.0200
T202508-00078,S014,Agent 14,C0116,Customer 116,P018,Product B8,2025-08-10,16,125.42,2006.72,0.1500,0.0200
T202508-00079,S002,Agent 2,C0060,Customer 60,P008,Product A8,2025-08-23,10,114.99,1149.90,0.0500,0.0200
T202508-00080,S028,Agent 28,C0117,Customer 117,P002,Product A2,2025-08-30,8,77.50,620.00,0.0500,0.0200
T202508-00081,S009,Agent 9,C0202,Customer 202,P020,Product B10,2025-08-22,19,183.40,3484.60,0.1000,0.0200
T202508-00082,S026,Agent 26,C0051,Customer 51,P011,Product B1,2025-08-08,18,176.70,3180.60,0.1000,0.0200
T202508-00083,S021,Agent 21,C0039,Customer 39,P026,Product C6,2025-08-03,5,63.32,316.60,0.0000,0.0200
T202508-00084,S002,Agent 2,C0043,Customer 43,P020,Product B10,2025-08-24,20,183.40,3668.00,0.1000,0.0200
T202508-00085,S027,Agent 27,C0146,Customer 146,P027,Product C7,2025-08-04,15,43.19,647.85,0.0000,0.0200
T202508-00086,S015,Agent 15  ,C0177, Customer 177 ,P008,Product A8,2025-08-31,13,114.99,1494.87,0.0500,0.0200
T202508-00087,S009,Agent 9,C0129,Customer 129,P014,Product B4,2025-08-03,15,72.51,1087.65,0.1000,0.0200
T202508-00088,S020,Agent 20,C0011,Customer 11,P025,Product C5,2025-08-11,24,87.21,2093.04,0.0000,0.0200
T202508-00089,S020,Agent 20  ,C0065, Customer 65 ,P001,Product A1,2025-08-31,8,113.94,911.52,0.0500,0.0200
T202508-00090,S022,Agent 22,C0215,Customer 215,P024,Product C4,2025-08-31,19,39.09,742.71,0.0000,0.0200
T202508-00091,S001,Agent 1,C0196,Customer 196,P017,Product B7,2025-08-19,9,144.35,1299.15,0.1000,0.0200
T202508-00092,S002,Agent 2,C0196,Customer 196,P019,Product B9,17/08/2025,16,179.53,2872.48,0.1000,0.0200
T202508-00093,S021,Agent 21,C0114,Customer 114,P026,Product C6,2025-08-19,6,63.32,379.92,0.0000,0.0200
T202508-00094,S014,Agent 14,C0163,Customer 163,P021,Product C1,2025-08-16,3,93.41,280.23,0.0000,0.0200
T202508-00095,S012,Agent 12,C0105,Customer 105,P009,Product A9,2025-08-04,22,72.04,1584.88,0.0500,0.0200
T202508-00096,S028,Agent 28  ,C0042,Customer 42  ,P009,Product A9,2025-08-16,23,72.04,1656.92,0.0900,0.0200
T202508-00097,S010,Agent 10,C0170,Customer 170,P028,Product C8,2025-08-18,25,88.32,2208.00,0.0000,0.0200
T202508-00098,S002,Agent 2,C0117,Customer 117,P003,Product A3,2025-08-11,9,123.65,1112.85,0.0500,0.0200
T202508-00099,S004,Agent 4,C0198,Customer 198,P011,Product B1,2025-08-27,17,124.62,2118.54,0.1500,0.0200
T202508-00100,S001,Agent 1,C0169,Customer 169,P024,Product C4,2025-08-14,15,39.09,586.35,0.0000,0.0200
T202508-00101,S002,Agent 2,C0049,Customer 49,P013,Product B3,2025-08-25,20,194.87,3897.40,0.1000,0.0200
T202508-00102,S016,Agent 16  ,C0161,Customer 161  ,P012,Product B2,2025-08-07,2,120.83,241.66,0.1500,0.0200
T202508-00103,S009,Agent 9,C0141,Customer 141,P004,Product A4,2025-08-15,10,139.22,1392.20,0.0500,0.0200
T202508-00104,S029,Agent 29,C0179,Customer 179,P013,Product B3,2025-08-21,1,194.87,194.87,0.1000,0.0200
T202508-00105,S020,Agent 20,C0205,Customer 205,P006,Product A6,2025-08-10,6,71.86,431.16,0.0500,0.0200
T202508-00106,S018,Agent 18,C0004,Customer 4,P014,Product B4,08-Aug-2025,3,91.13,273.39,0.1000,0.0200
T202508-00107,S027,Agent 27,,Customer 30,P012,Product B2,2025-08-21,4,120.83,483.32,0.1000,0.0200
T202508-00108,S027,Agent 27,C0040,Customer 40,P013,Product B3,2025-08-10,23,194.87,4482.01,0.1000,0.0200
T202508-00109,S017,Agent 17,C0181,Customer 181,P007,Product A7,2025-08-16,16,52.65,842.40,0.0500,0.0200
T202508-00110,S008, Agent 8 ,C0117, Customer 117 ,P014,Product B4,2025-08-07,13,91.13,1184.69,0.1000,0.0200
T202508-00111,S030,Agent 30,C0154,Customer 154,P013,Product B3,08-28-25,5,194.87,974.35,0.1000,0.0200
T202508-00112,S003,Agent 3,C0071,Customer 71,P020,Product B10,2025-08-11,14,183.40,2567.60,0.1300,0.0200
T202508-00113,S030,Agent 30,C0202,Customer 202,P013,Product B3,2025-08-10,1,194.87,194.87,0.1000,0.0200
T202508-00114,S024,Agent 24,C0077,Customer 77,P022,Product C2,2025-08-22,19,50.51,959.69,0.0000,0.0200
T202508-00115,S016,Agent 16,C0039,Customer 39,P012,Product B2,2025-08-12,16,120.83,1933.28,0.1000,0.0200
T202508-00116,S011,Agent 11,C0142,Customer 142,P020,Product B10,2025/08/15,13,183.40,2384.20,0.1000,0.0200
T202508-00117,S030,Agent 30,C0083,Customer 83,P024,Product C4,2025-08-08,23,39.09,899.07,0.0000,0.0200
T202508-00118,S019,Agent 19,C0099,Customer 99,P006,Product A6,2025-08-14,25,71.86,1796.50,0.0500,0.0200
T202508-00119,S002,Agent 2,C0082,Customer 82,P019,Product B9,2025-08-30,23,179.53,4129.19,0.1500,0.0200
T202508-00120,S026,Agent 26,C0098,Customer 98,P010,Product A10,2025-08-26,22,130.94,2880.68,0.0500,0.0200
T202508-00121,S027,Agent 27,C0167,Customer 167,P030,Product C10,08-31-25,16,44.71,715.36,0.0000,0.0200
T202508-00122,S002, Agent 2 ,C0033, Customer 33 ,P013,Product B3,2025-08-11,19,194.87,3702.53,0.1000,0.0200
T202508-00123,S028,Agent 28,C0026,Customer 26,,Product C4,2025-08-04,15,39.09,586.35,0.0000,0.0200
T202508-00124,S017, Agent 17 ,C0117, Customer 117 ,P001,Product A1,2025-08-14,5,113.94,569.70,0.0500,0.0200
T202508-00125,S028,Agent 28,C0168,Customer 168,P029,Product C9,2025-08-16,3,45.40,136.20,0.0000,0.0200
T202508-00126,S026,Agent 26,C0068,Customer 68,P009,Product A9,2025-08-13,23,72.04,1656.92,0.0500,0.0200
T202508-00127,S021,Agent 21,C0021,Customer 21,P023,Product C3,08-28-25,22,37.18,817.96,0.0500,0.0200
T202508-00128,S018,Agent 18,C0098,Customer 98,P028,Product C8,2025-08-23,21,88.32,1854.72,0.0000,0.0200
T202508-00129,S029,Agent 29,C0195,Customer 195,P013,Product B3,2025-08-02,18,194.87,3507.66,0.1000,0.0200
T202508-00130,S020,Agent 20,C0018,Customer 18,P006,Product A6,2025-08-30,22,71.86,1580.92,0.0500,0.0200
T202508-00131,S010,Agent 10,C0059,Customer 59,P019,Product B9,04-Aug-2025,14,179.53,2513.42,0.1000,0.0200
T202508-00132,S025, Agent 25 ,C0163, Customer 163 ,P018,Product B8,2025-08-15,4,125.42,501.68,0.1000,0.0200
T202508-00133,S006,Agent 6,C0178,Customer 178,P008,Product A8,02-Aug-2025,1,114.99,114.99,0.0500,0.0200
T202508-00134,S011,Agent 11,C0204,Customer 204,P002,Product A2,2025-08-12,12,77.50,930.00,0.0500,0.0200
T202508-00135,S014,Agent 14,C0038,Customer 38,P007,Product A7,2025-08-19,14,52.65,737.10,0.0500,0.0200
T202508-00136,S022,Agent 22,C0203,Customer 203,P005,Product A5,2025-08-03,6,92.19,553.14,0.0500,0.0200
T202508-00137,S020,Agent 20,C0098,Customer 98,P016,Product B6,2025-08-16,8,176.86,1414.88,0.1000,0.0200
T202508-00138,S030,Agent 30,C0150,Customer 150,P004,Product A4,2025-08-21,15,139.22,2088.30,0.0500,0.0200
T202508-00139,S009,Agent 9,C0118,Customer 118,P007,Product A7,2025-08-29,1,52.65,52.65,0.0500,0.0200
T202508-00140,S026,Agent 26,C0120,Customer 120,P026,Product C6,2025-08-18,22,63.32,1393.04,0.0000,0.0200
T202508-00141,S006,Agent 6,C0019,Customer 19,P012,Product B2,2025-08-19,12,120.83,1449.96,0.1000,0.0200
T202508-00142,S010,Agent 10,C0164,Customer 164,P029,Product C9,2025-08-09,23,45.40,1044.20,0.0000,0.0200
T202508-00143,S015,Agent 15,C0217,Customer 217,P008,Product A8,2025-08-28,13,114.99,1494.87,0.0500,0.0200
T202508-00144,S016,Agent 16,C0028,Customer 28,P006,Product A6,2025-08-12,19,71.86,1365.34,0.0500,0.0200
T202508-00145,S019,Agent 19,C0076,Customer 76,P030,Product C10,2025-08-01,10,44.71,447.10,0.0000,0.0200
T202508-00146,S027,Agent 27,C0169,Customer 169,P010,Product A10,2025-08-19,1,130.94,130.94,0.0500,0.0200
T202508-00147,S028,Agent 28,C0176,Customer 176,P020,Product B10,2025-08-30,2,183.40,366.80,0.1000,0.0200
T202508-00148,S020,Agent 20,C0191,Customer 191,P013,Product B3,25/08/2025,10,194.87,1948.70,0.1000,0.0200
T202508-00149,S026,Agent 26,C0059,Customer 59,P016,Product B6,2025-08-08,12,176.86,2122.32,0.1000,0.0200
T202508-00150,S021,Agent 21  ,C0049, Customer 49 ,P016,Product B6,2025-08-25,22,176.86,3890.92,0.1000,0.0200
T202508-00151,S024,Agent 24,C0197,Customer 197,P017,Product B7,2025-08-21,5,144.35,721.75,0.1000,0.0200
T202508-00152,S004,Agent 4,C0161,Customer 161,P017,Product B7,2025-08-26,10,144.35,1443.50,0.1000,0.0200
T202508-00153,S015,Agent 15,C0009,Customer 9,P015,Product B5,05-Aug-2025,24,181.70,4360.80,0.1000,0.0200
T202508-00154,S003,Agent 3,C0076,Customer 76,P009,Product A9,2025-08-06,14,72.04,1008.56,0.0500,0.0200
T202508-00155,S007,Agent 7,C0034,Customer 34,P020,Product B10,2025-08-17,12,183.40,2200.80,0.1000,0.0200
T202508-00156,S017,Agent 17,C0070,Customer 70,P022,Product C2,2025-08-30,9,50.51,454.59,0.0000,0.0200
T202508-00157,S027, Agent 27 ,C0124,Customer 124  ,P029,Product C9,2025-08-24,10,45.40,454.00,0.0000,0.0200
T202508-00158,S028,Agent 28,C0087,Customer 87,P021,Product C1,2025-08-31,15,93.41,1401.15,0.0000,0.0200
T202508-00159,S003,Agent 3,C0037,Customer 37,P019,Product B9,2025-08-28,8,179.53,1436.24,0.1000,0.0200
T202508-00160,S022,Agent 22,C0186,Customer 186,P017,Product B7,2025-08-31,13,144.35,1876.55,0.1000,0.0200
T202508-00161,S028,Agent 28,C0206,Customer 206,P014,Product B4,2025-08-26,3,91.13,273.39,0.1000,0.0200
T202508-00162,S013,Agent 13,C0004,Customer 4,P007,Product A7,2025-08-15,4,52.65,210.60,0.0500,0.0200
T202508-00163,S012,Agent 12,C0173,Customer 173,P019,Product B9,2025-08-19,9,179.53,1615.77,0.1000,0.0200
T202508-00164,S013,Agent 13,C0211,Customer 211,P016,Product B6,2025-08-04,12,176.86,2122.32,0.1000,0.0200
T202508-00165,S022,Agent 22,C0060,Customer 60,P012,Product B2,2025-08-29,20,120.83,2416.60,0.1000,0.0200
T202508-00166,S018,Agent 18,C0084,Customer 84,P026,Product C6,2025-08-21,8,63.32,506.56,0.0000,0.0200
T202508-00167,S003,Agent 3,C0163,Customer 163,P022,Product C2,2025-08-10,23,50.51,1161.73,0.0000,0.0200
T202508-00168,S021,Agent 21,C0105,Customer 105,P003,Product A3,2025-08-31,2,123.65,247.30,0.0500,0.0200
T202508-00169,S002, Agent 2 ,C0078,Customer 78  ,P030,Product C10,2025-08-04,4,44.71,178.84,0.0000,0.0200
T202508-00170,S008,Agent 8,C0138,Customer 138,P004,Product A4,12-Aug-2025,15,139.22,2088.30,0.0500,0.0200
T202508-00171,S022,Agent 22,C0191,Customer 191,P018,Product B8,2025-08-14,18,125.42,2257.56,0.1000,0.0200
T202508-00172,S019,Agent 19,C0191,Customer 191,P019,Product B9,2025-08-21,14,179.53,2513.42,0.1200,0.0200
T202508-00173,S004,Agent 4,C0214,Customer 214,,Product B3,2025-08-31,14,194.87,2728.18,0.1000,0.0200
T202508-00174,S009,Agent 9,C0009,Customer 9,P018,Product B8,2025-08-15,7,125.42,877.94,0.1000,0.0200
T202508-00175,S015,Agent 15,C0061,Customer 61,P023,Product C3,2025-08-22,4,37.18,148.72,0.0000,0.0200
T202508-00176,S012,Agent 12,C0140,Customer 140,P026,Product C6,2025-08-12,21,63.32,1329.72,0.0000,0.0200
T202508-00177,S002,Agent 2,C0102,Customer 102,P007,Product A7,2025-08-31,4,52.65,210.60,0.0500,0.0200
T202508-00178,S028,Agent 28,C0211,Customer 211,P012,Product B2,2025-08-07,22,103.46,2276.12,0.1000,0.0200
T202508-00179,S021,Agent 21,C0164,Customer 164,P015,Product B5,2025-08-02,1,181.70,181.70,0.1000,0.0200
T202508-00180,S026,Agent 26  ,C0086, Customer 86 ,P007,Product A7,26/08/2025,5,45.50,227.50,0.0500,0.0200
T202508-00181,S019,Agent 19,,Customer 53,P002,Product A2,2025-08-18,25,77.50,1937.50,0.0500,0.0200
T202508-00182,S007,Agent 7,C0151,Customer 151,P006,Product A6,2025-08-11,8,71.86,574.88,0.0500,0.0200
T202508-00183,S025,Agent 25,C0038,Customer 38,P020,Product B10,01-Aug-2025,20,164.03,3280.60,0.1000,0.0200
T202508-00184,S009,Agent 9,C0220,Customer 220,P030,Product C10,2025/08/18,5,44.71,223.55,0.0000,0.0200
T202508-00185,S009,Agent 9,C0205,Customer 205,P005,Product A5,2025-08-28,22,92.19,2028.18,0.0800,0.0200
T202508-00186,S001,Agent 1,C0034,Customer 34,P001,Product A1,08-19-25,8,113.94,911.52,0.0500,0.0200
T202508-00187,S011,Agent 11,C0005,Customer 5,P005,Product A5,2025-08-05,2,92.19,184.38,0.0700,0.0200
T202508-00188,S024,Agent 24,C0108,Customer 108,P014,Product B4,08-03-25,24,91.13,2187.12,0.1500,0.0200
T202508-00189,S016,Agent 16,C0115,Customer 115,P020,Product B10,2025-08-19,17,183.40,3117.80,0.1000,0.0200
T202508-00190,S004, Agent 4 ,C0116,Customer 116  ,P013,Product B3,2025-08-02,20,194.87,3897.40,0.1000,0.0200
T202508-00191,S024,Agent 24,C0201,Customer 201,P026,Product C6,2025-08-17,22,63.32,1393.04,0.0000,0.0200
T202508-00192,S010,Agent 10,C0118,Customer 118,P017,Product B7,2025-08-02,1,144.35,144.35,0.1000,0.0200
T202508-00193,S016,Agent 16,C0217,Customer 217,P011,Product B1,2025-08-04,22,176.70,3887.40,0.1000,0.0200
T202508-00194,S016,Agent 16,C0183,Customer 183,P026,Product C6,29-Aug-2025,3,63.32,189.96,0.0000,0.0200
T202508-00195,S003,Agent 3,C0083,Customer 83,P016,Product B6,2025-08-05,3,176.86,530.58,0.1000,0.0200
T202508-00196,S009,Agent 9,C0160,Customer 160,P016,Product B6,2025-08-23,18,176.86,3183.48,0.1000,0.0200
T202508-00197,S011,Agent 11,C0098,Customer 98,P030,Product C10,2025-08-10,17,44.71,760.07,0.0000,0.0200
T202508-00198,S015,Agent 15,C0130,Customer 130,P016,Product B6,2025-08-26,4,176.86,707.44,0.1000,0.0200
T202508-00199,S023,Agent 23,C0030,Customer 30,P023,Product C3,2025-08-29,21,37.18,780.78,0.0000,0.0200
T202508-00200,S025,Agent 25,C0142,Customer 142,P019,Product B9,2025-08-14,7,179.53,1256.71,0.1000,0.0200
T202508-00201,S015,Agent 15,C0059,Customer 59,P011,Product B1,2025-08-13,15,176.70,2650.50,0.1000,0.0200
T202508-00202,S014,Agent 14,C0187,Customer 187,P003,Product A3,2025-08-11,14,123.65,1731.10,0.0500,0.0200
T202508-00203,S022,Agent 22,C0066,Customer 66,P010,Product A10,2025-08-22,5,130.94,654.70,0.0500,0.0200
T202508-00204,S030,Agent 30,C0122,Customer 122,P002,Product A2,08-03-25,3,77.50,232.50,0.0500,0.0200
T202508-00205,S014,Agent 14,C0025,Customer 25,P019,Product B9,2025-08-26,12,179.53,2154.36,0.1000,0.0200
T202508-00206,S005,Agent 5,C0143,Customer 143,P002,Product A2,2025-08-18,18,77.50,1395.00,0.0500,0.0200
T202508-00207,S011,Agent 11,C0172,Customer 172,P004,Product A4,2025-08-28,12,139.22,1670.64,0.0500,0.0200
T202508-00208,S022,Agent 22,C0193,Customer 193,P011,Product B1,2025-08-02,24,176.70,4240.80,0.1000,0.0200
T202508-00209,S010,Agent 10,C0154,Customer 154,P008,Product A8,2025-08-19,4,114.99,459.96,0.0500,0.0200
T202508-00210,S017,Agent 17,C0055,Customer 55,P004,Product A4,2025-08-08,16,139.22,2227.52,0.0500,0.0200
T202508-00211,S028,Agent 28,C0028,Customer 28,P009,Product A9,2025-08-12,18,72.04,1296.72,0.0500,0.0200
T202508-00212,S004,Agent 4,C0196,Customer 196,P007,Product A7,2025-08-26,8,52.65,421.20,0.0500,0.0200
T202508-00213,S014,Agent 14,C0217,Customer 217,P015,Product B5,2025-08-27,25,181.70,4542.50,0.1200,0.0200
T202508-00214,S020,Agent 20,,Customer 158,P017,Product B7,2025-08-01,18,144.35,2598.30,0.1000,0.0200
T202508-00215,S020,Agent 20,C0169,Customer 169,P022,Product C2,2025-08-01,9,50.51,454.59,0.0000,0.0200
T202508-00216,S006,Agent 6,C0070,Customer 70,P018,Product B8,2025-08-30,10,125.42,1254.20,0.1000,0.0200
T202508-00217,S011,Agent 11,C0090,Customer 90,P001,Product A1,2025/08/19,5,113.94,569.70,0.0700,0.0200
T202508-00218,S022,Agent 22,C0103,Customer 103,P002,Product A2,2025-08-21,24,77.50,1860.00,0.0500,0.0200
T202508-00219,S001, Agent 1 ,C0024, Customer 24 ,P019,Product B9,2025-08-13,7,179.53,1256.71,0.1000,0.0200
T202508-00220,S014,Agent 14,C0117,Customer 117,P009,Product A9,2025-08-10,12,72.04,864.48,0.0500,0.0200
T202508-00221,S024,Agent 24,C0084,Customer 84,P020,Product B10,2025-08-20,19,183.40,3484.60,0.1000,0.0200
T202508-00222,S003,Agent 3,C0014,Customer 14,P004,Product A4,2025-08-20,25,139.22,3480.50,0.0500,0.0200
